RAH-CountryIso,RAH-CountryName,Forecast_Time,Forecast_InitTime_Views,Forecast_InitTime_BSE-CF,main_mean,lnbest_subtract,lnbest_even,fatal_mean_sbt,fatal_mean_evn,source,createdOn,createdBy
LBN,Lebanon,2024-12-01,2024-07-01,2024-08-01,31.7436,28.3152203420618,25.868819709634394,30.0294101710309,28.806209854817197,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Fatalities
JOR,Jordan,2025-03-01,2024-07-01,2024-08-01,0.1494,0.15543325769050453,0.14053871614432525,0.15241662884525226,0.14496935807216263,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Fatalities
IRN,"Iran, Islamic Republic of",2024-12-01,2024-07-01,2024-08-01,2.8614,10.732466117527323,9.165135750166293,6.796933058763662,6.013267875083146,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Fatalities
JOR,Jordan,2024-12-01,2024-07-01,2024-08-01,0.1034,0.15543325769050453,0.14053871614432525,0.12941662884525226,0.12196935807216264,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Fatalities
PSE,Occupied Palestinian territory,2025-07-01,,2024-08-01,,1223.5070889517895,1370.359871902858,1223.5070889517895,1370.359871902858,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Fatalities
ISR,Israel,2025-07-01,2024-07-01,2024-08-01,260.9398,1223.5070889517895,1370.359871902858,742.2234444758947,815.6498359514289,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Fatalities
SYR,Syria,2025-07-01,2024-07-01,2024-08-01,826.9839,187.6324472072557,177.39182292308445,507.30817360362784,502.1878614615422,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Fatalities
IRN,"Iran, Islamic Republic of",2025-04-01,2024-07-01,2024-08-01,5.0113,10.732466117527323,9.165135750166293,7.871883058763662,7.088217875083147,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Fatalities
LBN,Lebanon,2025-04-01,2024-07-01,2024-08-01,20.3585,28.3152203420618,25.868819709634394,24.3368601710309,23.113659854817197,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Fatalities
LBN,Lebanon,2025-07-01,2024-07-01,2024-08-01,26.0562,28.3152203420618,25.868819709634394,27.185710171030898,25.9625098548172,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Fatalities
