RAH-CountryIso,RAH-CountryName,Forecast_Time,Forecast_InitTime_Views,main_mean,main_mean-Rank,main_mean-Rank-Norm,main_dich,main_dich-Rank,main_dich-Rank-Norm,Forecast_InitTime_BSE-CF,anyviolence,anyviolence-Rank,anyviolence-Rank-Norm,armedconf,armedconf-Rank,armedconf-Rank-Norm,lnbest_pc,lnbest_pc-Rank,lnbest_pc-Rank-Norm,Forecast_InitTime_CAST,battles_forecast,battles_forecast-Rank,battles_forecast-Rank-Norm,erv_forecast,erv_forecast-Rank,erv_forecast-Rank-Norm,vac_forecast,vac_forecast-Rank,vac_forecast-Rank-Norm,total_forecast,total_forecast-Rank,total_forecast-Rank-Norm,Mean-Rank,Mean-Rank-Norm,Mean-Num-Values,main_mean-KendallTauRank,main_mean-KendallTauRankpVal,lnbest_pc-KendallTauRank,lnbest_pc-KendallTauRankpVal,total_forecast-KendallTauRank,total_forecast-KendallTauRankpVal,source,createdOn,createdBy
ISR,Israel,2024-11-01,2024-07-01,2896.0485,2.0,0.9895287958115183,0.9992,2.0,0.9827586206896551,2024-08-01,0.8080209799317729,20.0,0.8830409356725146,0.6973249361045676,8.0,0.9532163742690059,8.600385640323005,2.0,0.9883040935672515,2024-09-01,14.0,28.0,0.4716981132075472,202.0,8.0,0.7837837837837838,9.0,38.0,0.4492753623188406,225.0,12.0,0.8421052631578947,17.0,0.8127007599150147,8,0.7205496206905431,2.404100105290587e-26,0.6972421492289936,8.898179951816156e-25,0.6999259044004918,2.0709050175167634e-21,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0, ml.CRD_CAST_Admin1",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Rank
IRN,"Iran, Islamic Republic of",2024-09-01,2024-07-01,3.1376,33.0,0.8272251308900523,0.0332,33.0,0.6451612903225806,2024-08-01,0.8206236194009143,16.0,0.9064327485380117,0.1867907195917509,43.0,0.7485380116959064,2.666494183381272,36.0,0.7894736842105263,2024-09-01,3.0,39.0,0.26415094339622647,0.0,37.0,0.0,1.0,56.0,0.18840579710144922,4.0,52.0,0.3157894736842105,42.0,0.5461734507693441,8,0.7454545454545456,4.304838523456892e-28,0.7235074286841572,1.4890513506343626e-26,0.6967801699986919,3.118090425232399e-21,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0, ml.CRD_CAST_Admin1",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Rank
LBN,Lebanon,2024-09-01,2024-07-01,32.4731,17.0,0.9109947643979057,0.5681,17.0,0.8172043010752688,2024-08-01,0.7508537692593668,35.0,0.7953216374269005,0.6321793839916783,23.0,0.8654970760233918,4.035812030073697,26.0,0.847953216374269,2024-09-01,2.0,43.0,0.18867924528301883,710.0,4.0,0.8918918918918919,1.0,56.0,0.18840579710144922,713.0,6.0,0.9210526315789473,26.0,0.688243491196762,8,0.7454545454545456,4.304838523456892e-28,0.7235074286841572,1.4890513506343626e-26,0.6967801699986919,3.118090425232399e-21,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0, ml.CRD_CAST_Admin1",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Rank
ISR,Israel,2024-09-01,2024-07-01,7007.2017,2.0,0.9895287958115183,0.9999,2.0,0.978494623655914,2024-08-01,0.8080209799317729,20.0,0.8830409356725146,0.6973249361045676,8.0,0.9532163742690059,8.600385640323005,2.0,0.9883040935672515,2024-09-01,7.0,32.0,0.39622641509433965,194.0,8.0,0.7837837837837838,7.0,42.0,0.3913043478260869,208.0,14.0,0.8157894736842105,19.0,0.7954874212100519,8,0.7454545454545456,4.304838523456892e-28,0.7235074286841572,1.4890513506343626e-26,0.6967801699986919,3.118090425232399e-21,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0, ml.CRD_CAST_Admin1",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Rank
PSE,Occupied Palestinian territory,2024-09-01,,,,,,,,2024-08-01,0.8080209799317729,20.0,0.8830409356725146,0.6973249361045676,8.0,0.9532163742690059,8.600385640323005,2.0,0.9883040935672515,2024-09-01,185.0,5.0,0.9056603773584906,990.0,3.0,0.9189189189189189,97.0,5.0,0.927536231884058,1272.0,3.0,0.9605263157894737,2.0,0.9294461552783733,6,0.7454545454545456,4.304838523456892e-28,0.7235074286841572,1.4890513506343626e-26,0.6967801699986919,3.118090425232399e-21,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0, ml.CRD_CAST_Admin1",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Rank
SYR,Syria,2024-09-01,2024-07-01,245.1426,9.0,0.9528795811518325,0.9771,9.0,0.9032258064516129,2024-08-01,0.85081124288244,6.0,0.9649122807017544,0.7072807626470525,3.0,0.9824561403508771,6.08906721127838,13.0,0.9239766081871346,2024-09-01,254.0,4.0,0.9245283018867925,517.0,5.0,0.8648648648648649,173.0,3.0,0.9565217391304348,944.0,4.0,0.9473684210526316,1.0,0.934170665340663,8,0.7454545454545456,4.304838523456892e-28,0.7235074286841572,1.4890513506343626e-26,0.6967801699986919,3.118090425232399e-21,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0, ml.CRD_CAST_Admin1",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Rank
JOR,Jordan,2024-10-01,2024-07-01,0.0843,67.0,0.6492146596858639,0.004,67.0,0.5503355704697986,2024-08-01,0.174422560156813,77.0,0.5497076023391814,0.0467561448706562,69.0,0.5964912280701755,0.2527530509248829,78.0,0.543859649122807,2024-09-01,1.0,45.0,0.15094339622641506,0.0,37.0,0.0,0.0,70.0,0.0,1.0,64.0,0.1578947368421053,96.0,0.38006901323928016,8,0.6944135806722838,1.3701127264717408e-24,0.6956258243394451,1.1389640229010162e-24,0.7016455274005772,1.6068899014535398e-21,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0, ml.CRD_CAST_Admin1",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Rank
IRN,"Iran, Islamic Republic of",2024-10-01,2024-07-01,2.9091,32.0,0.8324607329842932,0.0332,32.0,0.785234899328859,2024-08-01,0.8206236194009143,16.0,0.9064327485380117,0.1867907195917509,43.0,0.7485380116959064,2.666494183381272,36.0,0.7894736842105263,2024-09-01,3.0,39.0,0.26415094339622647,0.0,37.0,0.0,1.0,58.0,0.17142857142857137,4.0,52.0,0.3157894736842105,45.0,0.5622149489477993,8,0.6944135806722838,1.3701127264717408e-24,0.6956258243394451,1.1389640229010162e-24,0.7016455274005772,1.6068899014535398e-21,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0, ml.CRD_CAST_Admin1",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Rank
LBN,Lebanon,2024-10-01,2024-07-01,29.8422,17.0,0.9109947643979057,0.5201,17.0,0.8859060402684564,2024-08-01,0.7508537692593668,35.0,0.7953216374269005,0.6321793839916783,23.0,0.8654970760233918,4.035812030073697,26.0,0.847953216374269,2024-09-01,2.0,42.0,0.2075471698113207,818.0,4.0,0.8918918918918919,2.0,51.0,0.27142857142857146,822.0,5.0,0.9342105263157895,25.0,0.7095675459528384,8,0.6944135806722838,1.3701127264717408e-24,0.6956258243394451,1.1389640229010162e-24,0.7016455274005772,1.6068899014535398e-21,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0, ml.CRD_CAST_Admin1",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Rank
ISR,Israel,2024-10-01,2024-07-01,8209.7829,2.0,0.9895287958115183,0.9999,2.0,0.9865771812080537,2024-08-01,0.8080209799317729,20.0,0.8830409356725146,0.6973249361045676,8.0,0.9532163742690059,8.600385640323005,2.0,0.9883040935672515,2024-09-01,42.0,17.0,0.679245283018868,329.0,7.0,0.8108108108108107,35.0,15.0,0.7857142857142857,406.0,10.0,0.868421052631579,6.0,0.8845547200090386,8,0.6944135806722838,1.3701127264717408e-24,0.6956258243394451,1.1389640229010162e-24,0.7016455274005772,1.6068899014535398e-21,"ml.CRD_VIEWS_Admin0, ml.CRD_CFB_Admin0, ml.CRD_CAST_Admin1",20240916,/Repos/.internal/f7d5c3f00d_commits/d9e7b0b6c2be226b403d5af1ce8e7afaa2259fc2/conflictForecastingData/aggregate_Forecasts_Rank
